Epoch,Epoch Mins,Epoch secs,Train Loss,Val Loss,Train Acc,Val Acc
1,1,11,0.7548743615667504,0.711590651422739,47.58790597379447,42.48046875
2,1,8,0.7506261690553412,0.7101038601249456,47.59527238976046,43.994140625
3,1,12,0.7552761648553442,0.7147090956568718,47.81135411626364,42.822265625
4,1,4,0.7529795861627203,0.7113425433635712,48.29208136322987,42.578125
